assistant,"For a student who has their third tardy, the documented consequences in the Student Handbook outline that the first three tardies to a class within a quarter will result in warnings. After the three warnings, further tardies will result in progressive consequences from teachers [0]. The document does not specify the exact nature of ""progressive consequences,"" indicating that the responses may vary based on the teacher's discretion or possibly school policy, but they escalate in severity with each additional tardy.


**Citations:**
[0] Tardy to Class  
A student that does not arrive to class before the bell rings is considered tardy to class. Tardies are cumulative throughout the quarter. The first  three (3) tardies to a class will result in warnings. Beyond the three warnings students will receive progressive consequenc es from teachers from Student Handbook 23-24.docx",thread_jemt4lAjqEtKGBj10JxIC3yG,msg_FWARvFloq6Bii3iSXb5tE2U2,run_h819Rf45mWaH5XHS4mEBkgEq,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050541,2/27/2024 16:15,,,,,,,
assistant,Welcome to John F Kennedy Middle School! I am your AI assistant - how may I help you?,thread_jemt4lAjqEtKGBj10JxIC3yG,0,0,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050141,2024-02-27 16:09:01.982795
user,A student complained about sexual assualt. How should htis be handled?,thread_jemt4lAjqEtKGBj10JxIC3yG,msg_cXYSU9fEmjD04a37KrXYxguE,run_NbR230jxQiPbkOfD8v0WSlBk,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050188,2024-02-27 16:09:48
assistant,"When a student complains about sexual assault, the provided document outlines several steps and resources available for handling the situation:

1. **Reporting to Authorities:**
   - **School or Local Authorities:** Parents and students can report sexual abuse, grooming behaviors, and boundary violations directly to school administrators or local law enforcement agencies.
   - **24-hour Child Abuse Hotline:** In cases where a child has been harmed or is at risk of being harmed by abuse or neglect, the document urges individuals to call the hotline at 800-25-ABUSE (800-252-2873). If the child is in immediate danger, it advises calling 911 first.
   - **Online Reporting System:** For non-emergency situations, suspected child abuse or neglect can be reported using the Online Reporting System available at: https://www2.illinois.gov/dcfs/safekids/reporting/Pages/index.asp
   
2. **Resources for Victims:**
   The document provides several suggested resources for individuals who have experienced abuse, including:
   - RAINN: https://rainn.org/
   - Child Welfare Information Gateway: https://www.childwelfare.gov/
   - Aunt Martha's: https://www.auntmarthas.org/
   - Will County Children's Advocacy Center: https://www.willcountycac.org/
   - Kendall County State's Attorney's Children's Advocacy Center: https://www.co.kendall.il.us/offices/state-s-attorney/about-the-state-s-attorney/children-s-advocacy-center
   - Plainfield School District Social and Emotional Support: https://www.psd202.org/page/social-emotional
  
3. **Preventative Education and Support:**
   The document also mentions Erin's Law, which mandates sexual abuse and assault awareness and prevention education, and provides additional resources such as the National Suicide Prevention Lifeline and Crisis Text Line for broader support related to crises and mental health [0].

It is crucial to take such complaints seriously and follow the steps highlighted in the document to ensure the student's safety and well-being, while also providing them with the necessary resources and support.


**Citations:**
[0] Parents and students can report sexual abuse grooming behaviors and boundary violations to school or local authorities.  Call the 24-hour Child Abuse Hotline at 800-25-ABUSE (800-252-2873) if you suspect that a child has been harmed or is at risk of being harmed  by abuse or neglect. If you believe a child is in immediate danger of harm call 911 first. Your confidential call will not only make sure the child  is safe but also help provide the child’s family the services they need to provide a safe loving and nurturing home. 
In non-emergency situations anyone may report suspected child abuse or neglect using the new Online Reporting System. For more information go to https://www2.illinois.gov/dcfs/safekids/reporting/Pages/index.asp
10 
10 
If you have experienced abuse there are suggested resources below: 
https://rainn.org/ 
https://www.childwelfare.gov/ 
https://www.auntmarthas.org/ 
https://www.willcountycac.org/ 
https://www.co.kendall.il.us/offices/state-s-attorney/about-the-state-s-attorney/children-s-advocacy-center https://www.psd202.org/page/ss_counseling_resources 
https://www.psd202.org/page/social-emotional 
https://www.childwelfare.gov/organizations/?CWIGFunctionsaction=rols:main.dspList&rolType=Custom&RS_ID=77 https://www.nctsn.org/sites/default/files/resources/fact-sheet/caring_for_kids_what_parents_need_know_about_sexual_abuse.pdf 
Suicide Prevention Update 
National Suicide Prevention Lifeline 
Hours: Available 24 hours Language: English & Spanish 
(800) 273-8255 
(888) 628-9454 (Spanish) 
(800) 799-4889 (TTY) 
Crisis Text Line 
24/7 comprehensive suicide prevention text hotline. Text REACH to 741741 from anywhere in the United States anytime. Crisis Text Line is  here for any crisis. A live trained Crisis Counselor receives the text and responds all from their secure online platform. More information can be  found here: https://www.crisistextline.org 
on our website here: https://www.psd202.org/page/suicide_prevention 
DHS Will County SASS 
SASS provides intensive mental health services for youth experiencing a mental health crisis. 
SASS services are available by calling the Crisis and Referral Entry Services (CARES) line. 
(800) 345-9049 
(866) 794-0374 (TTY) 
EXTRACURRICULAR ACTIVITIES 
Even though learning in the academic areas is the primary purpose of any school program extracurricular activities are also an extremely  valuable area where students share accomplishments and learning experiences beyond those that occur in the classroom. A wide variety of  activities are available and we strongly encourage all of our students to become involved in one or more of them. 
A medical excuse restricting physical activity during physical education class will extend to any school-related club or activity which requires a  reasonable amount of physical activity. 
Our middle school attempts to accommodate the large number of students who wish to participate in athletic competitions against other schools.  Sports which can handle a large number of students such as cross-country wrestling and track are operated on a no-cut no tryout basis so that  all who wish to join may participate. Since only a limited number of students can participate in certain sports such as Boys basketball (5) Girls  
basketball (5) volleyball (6) or soccer (11) at one time a limited number of players are selected for these teams through a try-out process. To  help accommodate more students a seventh-grade team and an eighth-grade team are offered for Boys basketball Girls basketball and  volleyball. 
A wide variety of interscholastic sports is offered throughout the school year for students in sixth seventh and eighth grade. 
Fall Soccer…………………... Boys Grades 7 and 8 
Cross Country………….. Boys and Girls Grades 6 7 and 8 
Volleyball……………….. Girls Grades 7 and 8 
Winter Basketball………………. Boys Grades 7 and 8 
Basketball………………. Girls Grades 7 and 8 
Wrestling……………….. Boys and Girls Grades 6 7 and 8 
Cheerleading/Pom Pons… Girls Grades 7 and 8 
Spring Track……………………. Boys and Girls Grades 6 7 and 8 
Soccer………………….. Girls Grades 7 and 8  
Volleyball……………….. Boys Grades 7 and 8 
In order to participate in interscholastic athletics students must maintain academic eligibility as outlined in Section Four of this handbook. This  requirement is maintained so that parents and teachers are assured that involvement in interscholastic ath letics will not interfere with our students’  academic performance which as noted earlier is the primary purpose for their schooling. To participate in a sport or extracurricular activity a  student must have all fees (including registration fees book fines etc. for both current and prior years) paid in full or be current on their district  established payment plan. Students who are not in good financial standing will be allowed to continue to practice/rehearse but will not be allowed  to participate or dress for an event until the outstanding debt is resolved from Student Handbook 23-24.docx",thread_jemt4lAjqEtKGBj10JxIC3yG,msg_cKmAC9enYif4okffYfZaDDUF,run_NbR230jxQiPbkOfD8v0WSlBk,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050196,2024-02-27 16:09:56
user,A student has their third tardy. What consequences should be considered?,thread_jemt4lAjqEtKGBj10JxIC3yG,msg_VfjrChI53IOvkNg7WkfjipZR,run_h819Rf45mWaH5XHS4mEBkgEq,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050533,2024-02-27 16:15:33
assistant,"For a student who has their third tardy, the documented consequences in the Student Handbook outline that the first three tardies to a class within a quarter will result in warnings. After the three warnings, further tardies will result in progressive consequences from teachers [0]. The document does not specify the exact nature of ""progressive consequences,"" indicating that the responses may vary based on the teacher's discretion or possibly school policy, but they escalate in severity with each additional tardy.


**Citations:**
[0] Tardy to Class  
A student that does not arrive to class before the bell rings is considered tardy to class. Tardies are cumulative throughout the quarter. The first  three (3) tardies to a class will result in warnings. Beyond the three warnings students will receive progressive consequenc es from teachers from Student Handbook 23-24.docx",thread_jemt4lAjqEtKGBj10JxIC3yG,msg_FWARvFloq6Bii3iSXb5tE2U2,run_h819Rf45mWaH5XHS4mEBkgEq,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050541,2024-02-27 16:15:41
user,what about a fourth tardy?,thread_jemt4lAjqEtKGBj10JxIC3yG,msg_aS2nG8qAdQUfUgY5F6AcalQ6,run_TMB0Jttm3PpTlaIW0ThIECu3,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050809,2024-02-27 16:20:09
assistant,Welcome to John F Kennedy Middle School! I am your AI assistant - how may I help you?,thread_jemt4lAjqEtKGBj10JxIC3yG,0,0,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050141,2024-02-27 16:09:01.982795
user,A student complained about sexual assualt. How should htis be handled?,thread_jemt4lAjqEtKGBj10JxIC3yG,msg_cXYSU9fEmjD04a37KrXYxguE,run_NbR230jxQiPbkOfD8v0WSlBk,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050188,2024-02-27 16:09:48
assistant,"When a student complains about sexual assault, the provided document outlines several steps and resources available for handling the situation:

1. **Reporting to Authorities:**
   - **School or Local Authorities:** Parents and students can report sexual abuse, grooming behaviors, and boundary violations directly to school administrators or local law enforcement agencies.
   - **24-hour Child Abuse Hotline:** In cases where a child has been harmed or is at risk of being harmed by abuse or neglect, the document urges individuals to call the hotline at 800-25-ABUSE (800-252-2873). If the child is in immediate danger, it advises calling 911 first.
   - **Online Reporting System:** For non-emergency situations, suspected child abuse or neglect can be reported using the Online Reporting System available at: https://www2.illinois.gov/dcfs/safekids/reporting/Pages/index.asp
   
2. **Resources for Victims:**
   The document provides several suggested resources for individuals who have experienced abuse, including:
   - RAINN: https://rainn.org/
   - Child Welfare Information Gateway: https://www.childwelfare.gov/
   - Aunt Martha's: https://www.auntmarthas.org/
   - Will County Children's Advocacy Center: https://www.willcountycac.org/
   - Kendall County State's Attorney's Children's Advocacy Center: https://www.co.kendall.il.us/offices/state-s-attorney/about-the-state-s-attorney/children-s-advocacy-center
   - Plainfield School District Social and Emotional Support: https://www.psd202.org/page/social-emotional
  
3. **Preventative Education and Support:**
   The document also mentions Erin's Law, which mandates sexual abuse and assault awareness and prevention education, and provides additional resources such as the National Suicide Prevention Lifeline and Crisis Text Line for broader support related to crises and mental health [0].

It is crucial to take such complaints seriously and follow the steps highlighted in the document to ensure the student's safety and well-being, while also providing them with the necessary resources and support.


**Citations:**
[0] Parents and students can report sexual abuse grooming behaviors and boundary violations to school or local authorities.  Call the 24-hour Child Abuse Hotline at 800-25-ABUSE (800-252-2873) if you suspect that a child has been harmed or is at risk of being harmed  by abuse or neglect. If you believe a child is in immediate danger of harm call 911 first. Your confidential call will not only make sure the child  is safe but also help provide the child’s family the services they need to provide a safe loving and nurturing home. 
In non-emergency situations anyone may report suspected child abuse or neglect using the new Online Reporting System. For more information go to https://www2.illinois.gov/dcfs/safekids/reporting/Pages/index.asp
10 
10 
If you have experienced abuse there are suggested resources below: 
https://rainn.org/ 
https://www.childwelfare.gov/ 
https://www.auntmarthas.org/ 
https://www.willcountycac.org/ 
https://www.co.kendall.il.us/offices/state-s-attorney/about-the-state-s-attorney/children-s-advocacy-center https://www.psd202.org/page/ss_counseling_resources 
https://www.psd202.org/page/social-emotional 
https://www.childwelfare.gov/organizations/?CWIGFunctionsaction=rols:main.dspList&rolType=Custom&RS_ID=77 https://www.nctsn.org/sites/default/files/resources/fact-sheet/caring_for_kids_what_parents_need_know_about_sexual_abuse.pdf 
Suicide Prevention Update 
National Suicide Prevention Lifeline 
Hours: Available 24 hours Language: English & Spanish 
(800) 273-8255 
(888) 628-9454 (Spanish) 
(800) 799-4889 (TTY) 
Crisis Text Line 
24/7 comprehensive suicide prevention text hotline. Text REACH to 741741 from anywhere in the United States anytime. Crisis Text Line is  here for any crisis. A live trained Crisis Counselor receives the text and responds all from their secure online platform. More information can be  found here: https://www.crisistextline.org 
on our website here: https://www.psd202.org/page/suicide_prevention 
DHS Will County SASS 
SASS provides intensive mental health services for youth experiencing a mental health crisis. 
SASS services are available by calling the Crisis and Referral Entry Services (CARES) line. 
(800) 345-9049 
(866) 794-0374 (TTY) 
EXTRACURRICULAR ACTIVITIES 
Even though learning in the academic areas is the primary purpose of any school program extracurricular activities are also an extremely  valuable area where students share accomplishments and learning experiences beyond those that occur in the classroom. A wide variety of  activities are available and we strongly encourage all of our students to become involved in one or more of them. 
A medical excuse restricting physical activity during physical education class will extend to any school-related club or activity which requires a  reasonable amount of physical activity. 
Our middle school attempts to accommodate the large number of students who wish to participate in athletic competitions against other schools.  Sports which can handle a large number of students such as cross-country wrestling and track are operated on a no-cut no tryout basis so that  all who wish to join may participate. Since only a limited number of students can participate in certain sports such as Boys basketball (5) Girls  
basketball (5) volleyball (6) or soccer (11) at one time a limited number of players are selected for these teams through a try-out process. To  help accommodate more students a seventh-grade team and an eighth-grade team are offered for Boys basketball Girls basketball and  volleyball. 
A wide variety of interscholastic sports is offered throughout the school year for students in sixth seventh and eighth grade. 
Fall Soccer…………………... Boys Grades 7 and 8 
Cross Country………….. Boys and Girls Grades 6 7 and 8 
Volleyball……………….. Girls Grades 7 and 8 
Winter Basketball………………. Boys Grades 7 and 8 
Basketball………………. Girls Grades 7 and 8 
Wrestling……………….. Boys and Girls Grades 6 7 and 8 
Cheerleading/Pom Pons… Girls Grades 7 and 8 
Spring Track……………………. Boys and Girls Grades 6 7 and 8 
Soccer………………….. Girls Grades 7 and 8  
Volleyball……………….. Boys Grades 7 and 8 
In order to participate in interscholastic athletics students must maintain academic eligibility as outlined in Section Four of this handbook. This  requirement is maintained so that parents and teachers are assured that involvement in interscholastic ath letics will not interfere with our students’  academic performance which as noted earlier is the primary purpose for their schooling. To participate in a sport or extracurricular activity a  student must have all fees (including registration fees book fines etc. for both current and prior years) paid in full or be current on their district  established payment plan. Students who are not in good financial standing will be allowed to continue to practice/rehearse but will not be allowed  to participate or dress for an event until the outstanding debt is resolved from Student Handbook 23-24.docx",thread_jemt4lAjqEtKGBj10JxIC3yG,msg_cKmAC9enYif4okffYfZaDDUF,run_NbR230jxQiPbkOfD8v0WSlBk,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050196,2024-02-27 16:09:56
user,A student has their third tardy. What consequences should be considered?,thread_jemt4lAjqEtKGBj10JxIC3yG,msg_VfjrChI53IOvkNg7WkfjipZR,run_h819Rf45mWaH5XHS4mEBkgEq,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050533,2024-02-27 16:15:33
assistant,"For a student who has their third tardy, the documented consequences in the Student Handbook outline that the first three tardies to a class within a quarter will result in warnings. After the three warnings, further tardies will result in progressive consequences from teachers [0]. The document does not specify the exact nature of ""progressive consequences,"" indicating that the responses may vary based on the teacher's discretion or possibly school policy, but they escalate in severity with each additional tardy.


**Citations:**
[0] Tardy to Class  
A student that does not arrive to class before the bell rings is considered tardy to class. Tardies are cumulative throughout the quarter. The first  three (3) tardies to a class will result in warnings. Beyond the three warnings students will receive progressive consequenc es from teachers from Student Handbook 23-24.docx",thread_jemt4lAjqEtKGBj10JxIC3yG,msg_FWARvFloq6Bii3iSXb5tE2U2,run_h819Rf45mWaH5XHS4mEBkgEq,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050541,2024-02-27 16:15:41
user,what about a fourth tardy?,thread_jemt4lAjqEtKGBj10JxIC3yG,msg_aS2nG8qAdQUfUgY5F6AcalQ6,run_TMB0Jttm3PpTlaIW0ThIECu3,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050809,2024-02-27 16:20:09
user,what about a fourth tardy?,thread_jemt4lAjqEtKGBj10JxIC3yG,msg_q0aJFbMTJVDw713BQVofIoAL,run_MNr0OM3DwEez1j5rbQXmfQSp,c612c07b-e0e1-4365-b1d8-a5df93c7f921,1709050828,2024-02-27 16:20:28
